ORD,NOMBRE COMPLETO DE LA UNIDAD,Unidad,Unidad Padre,Unidad Abuelo,PROVINCIA,CANTÓN/CIUDAD,PARROQUIA,DIRECCION,REGIONES
350,BATALLON DE REEMPLAZOS III-DE,B.R III.D.E,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
351,BANDA DE MÚSICOS NRO. 21,B.MUS 21 (-),NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
352,GRUPO DE FUERZAS ESPECIALES NRO. 27,G.F.E 27,9 B.F.E,I.D.E,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
353,DIRECCIÓN DE DESARROLLO HUMANO,D.DES.H,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
354,ESCUADRÓN DE SEGURIDAD,ESC.SEG C.MIL,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
355,COMPAÑIA LOGÍSTICA DEL B.S 55,CIA. LOG/55,NO ENCONTRADO,NO ENCONTRADO,SUCUMBIOS,PUTUMAYO ,PTO DEL CARMEN PUTUM,SUCUMBIOS  / PUTUMAYO  / PTO DEL CARMEN PUTUM,ORIENTE
356,COMANDO DE LA F.T.C NRO. 1,C.E.M FT.C.1,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
357,"COMANDO LOGÍSTICO DE LA IV.D.E ""AUCA""",C.L IV.D.E,IV.D.E,C.O.T,SUCUMBIOS,GONZALO PIZARRO ,LUMBAQUI,SUCUMBIOS  / GONZALO PIZARRO  / LUMBAQUI,ORIENTE
358,SECRETARIA GENERAL DEL MIDENA,S.GEN M.D.N,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
359,SUBSECRETARÍA DE DEFENSA NACIONAL,SSDN,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
360,COMPAÑIA LOGÍSTICA DEL B.I 21,CIA. LOG/21,NO ENCONTRADO,NO ENCONTRADO,LOJA,MACARA ,MACARA,LOJA  / MACARA  / MACARA,SIERRA
361,COMANDO Y ESTADO MAYOR DE LA II.D.E,C.E.M II.D.E,II.D.E,C.O.T,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
362,JUZGADO MILITAR II-DE,JM II.D.E,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
363,"BATALLÓN DE OPERACIONES ESPECIALES DE SELVA NRO. 54 ""CAPITÍN CALLES""",B.O.E.S 54,19 B.S,IV.D.E,SUCUMBIOS,SHUSHUFINDI ,SHUSHUFINDI CENTRAL,SUCUMBIOS  / SHUSHUFINDI  / SHUSHUFINDI CENTRAL,ORIENTE
364,COMANDO DE APOYO LOGÍSTICO NRO. 21,C.A.L 21,21 B.S,III.D.E,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
365,DIRECCIÓN DE INTELIGENCIA DEL CC.FF.AA.,G.2,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
366,COMPAÑIA LOGÍSTICA DEL B.I 2,CIA. LOG/2,NO ENCONTRADO,NO ENCONTRADO,EL ORO,SANTA ROSA ,SANTA ROSA,EL ORO  / SANTA ROSA  / SANTA ROSA,COSTA
367,COMANDO DE APOYO LOGÃSTICO ELECTRÓNICO DE LA F.T.,C.A.L.E.F.T,AGR.COM.GE,C.O.T,PICHINCHA,QUITO ,EL INCA,PICHINCHA  / QUITO  / EL INCA,SIERRA
368,CENTRO DE INVESTIGACIÓN TECNOLÓGICA DEL EJÉRCITO,CICTE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SANGOLQUI,PICHINCHA  / RUMINAHUI  / SANGOLQUI,SIERRA
369,POLICLÍNICO DEL CEE,POL. C.E.E,C.E.E,C.O.T,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
370,"BATALLÓN DE SELVA NRO. 17 ""ZUMBA""",B.S 17,7 B.I,III.D.E,ZAMORA CHINCHIPE,CHINCHIPE ,ZUMBA,ZAMORA CHINCHIPE  / CHINCHIPE  / ZUMBA,ORIENTE
371,COMPAÑIA POLICÍA MILITAR NRO. 7,C.P.M 7,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
372,"BATALLÓN DE SELVA NRO. 61 ""SANTIAGO""",B.S 61,21 B.S,III.D.E,MORONA SANTIAGO,SANTIAGO ,SANTIAGO,MORONA SANTIAGO  / SANTIAGO  / SANTIAGO,ORIENTE
373,JURÍDICO COMACO,JUR.CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
374,COMANDO LOGÍSTICO TERRESTRE,C.L.T,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
375,"BATALLÓN DE SELVA NRO. 55 ""PUTUMAYO""",B.S 55,19 B.S,IV.D.E,SUCUMBIOS,PUTUMAYO ,PTO DEL CARMEN PUTUM,SUCUMBIOS  / PUTUMAYO  / PTO DEL CARMEN PUTUM,ORIENTE
376,"BATALLÓN DE INGENIEROS DE COMBATE NRO. 68 ""COTOPAXI""",B.E 68,C.E.E,C.O.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
377,"BATALLÓN DE SELVA NRO. 56 ""TUNGURAHUA""",B.S 56,19 B.S,IV.D.E,SUCUMBIOS,LAGO AGRIO ,SANTA CECILIA,SUCUMBIOS  / LAGO AGRIO  / SANTA CECILIA,ORIENTE
378,COMPAÑIA LOGÍSTICA DEL G.F.E 27,CIA. LOG/27,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
379,"BATALLÓN DE INFANTERÍA MOTORIZADA NRO. 21 ""MACARA""",B.I.MOT 21,7 B.I,III.D.E,LOJA,MACARA ,MACARA,LOJA  / MACARA  / MACARA,SIERRA
380,COMPAÑIA LOGÍSTICA DEL B.S 56,CIA. LOG/56,NO ENCONTRADO,NO ENCONTRADO,SUCUMBIOS,LAGO AGRIO ,SANTA CECILIA,SUCUMBIOS  / LAGO AGRIO  / SANTA CECILIA,ORIENTE
381,DEPARTAMENTO DE LOGISTICA,B.4/FTC1,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
382,"COMANDO LOGÍSTICO DE LA II.D.E ""HUANCAVILCA""",C.L II.D.E,II.D.E,C.O.T,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
383,ACADEMIA DE DEFENSA MILITAR CONJUNTA,ADEMIC,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
384,"COMANDO LOGÍSTICO DE LA I.D.E ""SHYRI""",C.L I.D.E,I.D.E,C.O.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
385,COMANDO Y ESTADO MAYOR DE LA 13-BI,C.E.M 13,13 B.I,I.D.E,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
386,COMPAÑIA LOGÍSTICA DEL G.A.E 45,CIA. LOG/45,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,CHAUPICRUZ,PICHINCHA  / QUITO  / CHAUPICRUZ,SIERRA
387,DEPARTAMENTO DE INTELIGENCIA,B.2/FTC1,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
388,COMPAÑIA DE SANIDAD DEL COLOG,CIA.SND.COLOG (-),NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
389,COMANDO DEL COLOG,CDO.COLOG,25 COLOG,C.L.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
390,COMPAÑIA LOGÍSTICA DEL B.S 61,CIA. LOG/61,NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,SANTIAGO ,SANTIAGO,MORONA SANTIAGO  / SANTIAGO  / SANTIAGO,ORIENTE
391,HOSPITAL DE ESPECIALIDADES DE FF.AA NÂ° 1,H.E 1,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,LA VICENTINA,PICHINCHA  / QUITO  / LA VICENTINA,SIERRA
392,JEFATURA DEL ESTADO MAYOR (COMACO),J.E.M CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
393,COMANDO DE APOYO LOGÍSTICO NRO. 19,C.A.L 19,19 B.S,IV.D.E,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
394,CENTRO DE MANTENIMIENTO DE TRANSPORTES,C.M.TRP,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
395,"COMANDO LOGÃSTICO DE LA III.D.E ""GIRÓN""",C.L III.D.E,III.D.E,C.O.T,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
396,"CENTRO DE MOVILIZACIÓN ""STO. DOMINGO""",CENMOV.STODOM,DIRMOV,CC.FF.AA,STO. DOMINGO DE LOS TSÁCHILAS,STO. DOMINGO DE LOS COLORADOS ,STO. DOMINGO DE LOS CO,STO. DOMINGO DE LOS TSÁCHILAS  / STO. DOMINGO DE LOS COLORADOS  / STO. DOMINGO DE LOS CO,COSTA
397,"CENTRO DE MOVILIZACIÓN ""COTOPAXI""",CENMOV.COTOPAXI,DIRMOV,CC.FF.AA,COTOPAXI,LATACUNGA ,LATACUNGA,COTOPAXI  / LATACUNGA  / LATACUNGA,SIERRA
398,"CENTRO DE MOVILIZACIÓN ""TUNGURAHUA""",CENMOV.TUNGURA,DIRMOV,CC.FF.AA,TUNGURAHUA,AMBATO ,AMBATO,TUNGURAHUA  / AMBATO  / AMBATO,SIERRA
399,JUZGADO PRIMERO MILITAR,1.JM.I.DE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
400,JUZGADO SEGUNDO MILITAR,2.JM.I.DE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
401,HOSPITAL DE BRIGADA NRO. 1,H.B 1,1 B.I,III.D.E,EL ORO,PASAJE ,PASAJE,EL ORO  / PASAJE  / PASAJE,COSTA
402,COMPAÑIA DE COMUNICACIONES NRO. 5,C.C 5 (-),5 B.I,II.D.E,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
403,COMPAÑIA LOGÍSTICA DEL G.A.E 43,CIA. LOG/43,NO ENCONTRADO,NO ENCONTRADO,MANABÍ,PORTOVIEJO ,PORTOVIEJO,MANABÍ / PORTOVIEJO  / PORTOVIEJO,COSTA
404,COMPANIA DE INGENIEROS No. 5,CE-5,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
405,DIRECCIÓN DE LOGÍSTICA DEL CC.FF.AA.,G.4,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
406,COMPANIA DE MORTEROS 4.2 PULGADAS,C.M 5,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
407,CIA. DE OPER. ESP. No. 13,COE-13,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
408,VILLA HOGAR LA ESPERANZA 2,CVHE-GUAYA,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
409,"UNIDAD PROD. NO.4 ""GUAYAS""",UP-4,NO ENCONTRADO,NO ENCONTRADO,EL ORO,MACHALA ,EL CAMBIO,EL ORO  / MACHALA  / EL CAMBIO,COSTA
410,DIRECCION DE SISTEMAS Y DESARROLLO ORGANIZACIONAL,DSMJ,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
411,"BASE DE MOVILIZACIÓN ""NORTE""",BMOV.NORTE,DIRMOV,CC.FF.AA,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
412,"CENTRO DE MOVILIZACIÓN ""PICHINCHA""",CENMOV.PICHINCH,DIRMOV,CC.FF.AA,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
413,"CENTRO DE MOVILIZACIÓN ""ESMERALDAS""",CENMOV.ESMERALD,DIRMOV,CC.FF.AA,ESMERALDAS,ESMERALDAS ,ESMERALDAS,ESMERALDAS  / ESMERALDAS  / ESMERALDAS,COSTA
414,"CENTRO DE MOVILIZACIÓN ""CARCHI""",CENMOV.CARCHI,DIRMOV,CC.FF.AA,CARCHI,TULCAN ,TULCAN,CARCHI  / TULCAN  / TULCAN,SIERRA
415,INSTITUTO DE SEGURIDAD SOCIAL DE LAS FF.AA.,I.S.S.F.A,M.D.N,M.D.N,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
416,DIRECCIÓN DE DESARROLLO INSTITUCIONAL(MIDENA),D.D.I M.D.N,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
417,CENTRO INTERNACIONAL DE ALTO RENDIMIENTO EN ALTURA,CIARA,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SANGOLQUI,PICHINCHA  / RUMINAHUI  / SANGOLQUI,SIERRA
418,ESCUADRÓN DE REEMPLAZOS NO. 15,E.R 15,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
419,HOSPITAL DE DIVISIÓN IV.D.E,H.D IV.D.E (-),NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
420,"CENTRO DE MOVILIZACIÓN ""IMBABURA""",CENMOV.IMBABURA,DIRMOV,CC.FF.AA,IMBABURA,IBARRA ,IBARRA,IMBABURA  / IBARRA  / IBARRA,SIERRA
421,DIRECCIÓN DE MOVILIZACIÓN MILITAR,DIRMOV,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
422,"BATALLÓN DE INFANTERÍA MOTORIZADA NRO. 20 ""CAPT. DIAZ""",B.I.MOT 20,7 B.I,III.D.E,LOJA,CALVAS ,CARIAMANGA,LOJA  / CALVAS  / CARIAMANGA,SIERRA
423,"CENTRO DE MOVILIZACIÓN ""CHIMBORAZO""",CENMOV.CHIMBORA,DIRMOV,CC.FF.AA,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
424,"BASE DE MOVILIZACIÓN ""SUR""",BMOV.SUR,DIRMOV,CC.FF.AA,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
425,"CENTRO DE MOVILIZACIÓN ""AZUAY""",CENMOV.AZUAY,DIRMOV,CC.FF.AA,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
426,"CENTRO DE MOVILIZACIÓN ""LOJA""",CENMOV.LOJA,DIRMOV,CC.FF.AA,LOJA,LOJA ,LOJA,LOJA  / LOJA  / LOJA,SIERRA
427,"CENTRO DE MOVILIZACIÓN ""ZAMORA CHINCHIPE""",CENMOV.ZAMORA,DIRMOV,CC.FF.AA,ZAMORA CHINCHIPE,ZAMORA ,ZAMORA,ZAMORA CHINCHIPE  / ZAMORA  / ZAMORA,ORIENTE
428,"CENTRO DE MOVILIZACIÓN ""EL ORO""",CENMOV.ELORO,DIRMOV,CC.FF.AA,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
429,"BASE DE MOVILIZACIÓN ""OCCIDENTAL""",BMOV.OCCIDENT,DIRMOV,CC.FF.AA,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
430,"CENTRO DE MOVILIZACIÓN ""GUAYAQUIL""",CENMOV.GUAYAQUI,DIRMOV,CC.FF.AA,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
431,HOSPITAL DE BRIGADA NRO. 7,H.B 7,7 B.I,III.D.E,LOJA,LOJA ,SAN SEBASTIAN,LOJA  / LOJA  / SAN SEBASTIAN,SIERRA
432,COMPAÑIA CUARTEL GENERAL DE LA I.D.E,C.C.G I.D.E,I.D.E,C.O.T,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
433,CORTE DE JUSTICIA MILITAR,C.J.M,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
434,CONSEJO DE SEGURIDAD NACIONAL,CO.SE.NA,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
435,COMPAÑIA LOGÍSTICA DEL G.F.E 25,CIA. LOG/25,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
436,HOSPITAL DE DIVISIÓN II.D.E,H.D II.D.E,II.D.E,C.O.T,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
437,DIRECCIÓN FINANCIERA DEL M.D.N.,D.F.M.D.N,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
438,DIRECCIÓN DE TRANSFORMACIÓN Y DESARROLLO MILITAR,D.T.D.M,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
439,ESCUADRÓN DE RECONOCIMIENTO Y SEGURIDAD NO. 11,E.R.S 11,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
440,COMPAÑIA LOGÍSTICA DEL G.A.A.A 5,CIA. LOG/5,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
441,MINISTERIO DE DEFENSA NACIONAL,M.D.N,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
442,DESPACHO DEL SEÃ‘OR MINISTRO,DES.MDN,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
443,CENTRO DE METROLOGÍA DE LA FUERZA TERRESTRE,C.MET.F.T,AGR.COM.GE,C.O.T,PICHINCHA,QUITO ,EL INCA,PICHINCHA  / QUITO  / EL INCA,SIERRA
444,FABRICA DE MUNICIONES STA.BARBARA,F.M.S.B,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SANGOLQUI,PICHINCHA  / RUMINAHUI  / SANGOLQUI,SIERRA
445,UNID. DE PROD.N.1 STO.DGO.,UP-1,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,STO DMGO CLDOS ,STO DOMINGO DE LOS QUITO,PICHINCHA  / STO DMGO CLDOS  / STO DOMINGO DE LOS QUITO,SIERRA
446,BATALLÓN ESCUELA POLICÍA MILITAR MINISTERIAL,B.E.P.M.M,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
447,DISPOSICIÓN EC. ALUMNOS A.G.E.,D.EC.A.G,A.G.F.T,C.E.D.F.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
448,BATERÃA DE ARTILLERÃA ANTIAÉREA MISIL No.7,BAA-AM-7,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,SAN SEBASTIAN,LOJA  / LOJA  / SAN SEBASTIAN,SIERRA
449,DISPOSICION DIRECCION DE PERSONAL,DISP.E-1,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
450,JEFATURA DE ESTADO MAYOR DE LA FUERZA TERRESTRE,J.E.M.F.T,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
451,"SEGUNDA DIVISIÓN DE EJÉRCITO ""LIBERTAD""",II.D.E,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
452,GRUPO DE GUERRA ELECTRÓNICA,GRUGE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
453,INSTITUTO DE ALTOS ESTUDIOS NACIONALES,I.A.E.N,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
454,DIRECCION NACIONAL DE INTELIGENCIA,DNI,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
455,OBISPADO CASTRENSE,OBISPADO,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
456,DIRECCIÓN ADMINISTRATIVA FINANCIERA,ADM.FIN,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
457,"GRUPO DE AVIACIÓN DEL EJÉRCITO NRO. 43 ""PORTOVIEJO""",G.A.E 43,15 B.A.E,C.G.F.T,MANABÍ,PORTOVIEJO ,PORTOVIEJO,MANABÍ / PORTOVIEJO  / PORTOVIEJO,COSTA
458,"GRUPO DE ARTILLERÍA DE 155 MM. NRO. 79 ""GRAL. PINTAG""",G.A.155 79,27 B.A,III.D.E,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
459,COMANDO Y ESTADO MAYOR DE LA I.D.E,C.E.M I.D.E,I.D.E,C.O.T,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
460,"SISTEMA CONJUNTO DE DEFENSA AEREO .""TAURA""",SCD-TAUR,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,NARANJAL ,TAURA,GUAYAS  / NARANJAL  / TAURA,COSTA
461,COMUNICACIÓN SOCIAL COMACO,C.S CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
462,DISPOSICIÓN C.G.F.T. ALUMNOS ESPE,D.EC.A.E,U.F.A ESPE-S,C.E.D.F.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
463,DIRECCIÓN DE PERSONAL DEL CC.FF.AA.,G.1,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
464,"BRIGADA DE INFANTERÍA NRO. 5 ""GUAYAS""",5 B.I,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
465,GRUPO ESCOLTA PRESIDENCIAL,G.E.P,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
466,GABINETE MINISTERIAL,GAB.MIN,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
467,AUDITORIA DEL MINEDA,AUD M.D.N,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
468,PROCURADURÍA,PROC,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
469,DIRECCIÓN DE APOYO LOGÍSTICO ADMINISTRATIVO DEL MIDENA,D.A.L M.D.N,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
470,ASOCIACIÓN DE MILITARES EN SERVICIO PASIVO,AS.M.SP,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
471,VILLA HOGAR LA ESPERANZA,V.H.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
472,"GRUPO DE ARTILLERÍA DE 105 MM. NRO. 5 ""ATAHUALPA""",G.A.105 5,5 B.I,II.D.E,GUAYAS,SALINAS ,SALINAS,GUAYAS  / SALINAS  / SALINAS,COSTA
473,DIRECCIÓN DE RR.HH. Y BIENESTAR SOCIAL(MDN),D.R.H M.D.N,M.D.N,M.D.N,PICHINCHA,QUITO ,SAN BLAS,PICHINCHA  / QUITO  / SAN BLAS,SIERRA
474,DIRECCIÓN GENERAL DE TALENTO HUMANO,D.G.T.H,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
