ORD,NOMBRE COMPLETO DE LA UNIDAD,Unidad,Unidad Padre,Unidad Abuelo,PROVINCIA,CANTÓN/CIUDAD,PARROQUIA,DIRECCION,REGIONES
158,COMPAÑIA DE MORTEROS 4.2 PULGADAS,C.M 4.2/1,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,MACHANGARA,AZUAY  / CUENCA  / MACHANGARA,SIERRA
159,COMANDO DE APOYO LOGÍSTICO NRO. 7,C.A.L 7,7 B.I,III.D.E,LOJA,LOJA ,SAN SEBASTIAN,LOJA  / LOJA  / SAN SEBASTIAN,SIERRA
160,COMPAÑIA POLICÍA MILITAR NRO. 27,C.P.M 27,27 B.A,III.D.E,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
161,"BATALLÓN DE INFANTERÃA MOTORIZADA NRO. 1 ""CONSTITUCIÓN""",B.I.MOT 1,1 B.I,III.D.E,EL ORO,ARENILLAS ,ARENILLAS,EL ORO  / ARENILLAS  / ARENILLAS,COSTA
162,"BATALLÓN DE INGENIEROS DE COMBATE NRO. 69 ""CHIMBORAZO""",B.E 69,C.E.E,C.O.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
163,COMPAÑIA DE INGENIEROS DE COMBATE NRO. 1,C.E 1,1 B.I,III.D.E,EL ORO,SANTA ROSA ,BELLAVISTA,EL ORO  / SANTA ROSA  / BELLAVISTA,COSTA
164,"CUARTA DIVISIÓN DE EJÉRCITO ""AMAZONAS""",IV.D.E,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
165,ESCUELA DE PERFECCIONAMIENTO DE LA F.T.,E.P.E.F.T,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SANGOLQUI,PICHINCHA  / RUMINAHUI  / SANGOLQUI,SIERRA
166,POLICLÍNICO NRO. 13,POL. 13,13 B.I,I.D.E,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
167,"BRIGADA DE INFANTERÍA NRO. 7 ""LOJA""",7 B.I,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,LOJA,LOJA  / LOJA  / LOJA,SIERRA
168,COMPAÑIA LOGÍSTICA DEL B.I 1,CIA. LOG/1 (B.I 1),NO ENCONTRADO,NO ENCONTRADO,EL ORO,ARENILLAS ,ARENILLAS,EL ORO  / ARENILLAS  / ARENILLAS,COSTA
169,"TERCERA DIVISIÓN DE EJÉRCITO ""TARQUI""",III.D.E,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
170,"GRUPO DE CABALLERÍA MECANIZADA NRO. 12 ""TNTE. ORTIZ""",G.C.M 12,3BCM,II.D.E,MANABÍ,PORTOVIEJO ,PORTOVIEJO,MANABÍ / PORTOVIEJO  / PORTOVIEJO,COSTA
171,COMPAÑIA DE COMUNICACIONES NRO. 17,C.C 17,17 B.S,IV.D.E,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
172,"BRIGADA DE SELVA NRO. 17 ""PASTAZA""",17 B.S,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
173,"BATALLÓN DE INFANTERÍA MOTORIZADA NRO. 19 ""CARCHI""",B.I.MOT 19,7 B.I,III.D.E,LOJA,CELICA ,CELICA,LOJA  / CELICA  / CELICA,SIERRA
174,BANDA DE MÚSICOS NRO. 1,B.MUS 1,NO ENCONTRADO,NO ENCONTRADO,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
175,COMPAÑIA DE COMUNICACIONES NRO. 1,C.C 1,1 B.I,III.D.E,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
176,BANDA DE MÚSICOS NRO. 17,B.MUS 17,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
177,COMPAÑIA DE APOYO AL DESARROLLO Y AMBIENTE NRO. 7,C.A.D.Y.A 7 (-),NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
178,BANDA DE MÚSICOS IV.D.E,B.MUS IV.D.E,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
179,UNIVERSIDAD DE LAS FUERZAS ARMADAS - SEDE LATACUNGA,U.F.A.ESPE-L,C.E.D.F.T,C.G.F.T,COTOPAXI,LATACUNGA ,LATACUNGA,COTOPAXI  / LATACUNGA  / LATACUNGA,SIERRA
180,COMANDO DE APOYO LOGÍSTICO NRO. 1,C.A.L 1,1 B.I,III.D.E,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
181,COMPAÑIA LOGÍSTICA DEL G.C.M 18,CIA. LOG/18,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,SAN SEBASTIAN,LOJA  / LOJA  / SAN SEBASTIAN,SIERRA
182,"BATALLÓN DE SELVA NRO. 48 ""SANGAY""",B.S 48,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,ARAJUNO ,CURARAY,PASTAZA  / ARAJUNO  / CURARAY,ORIENTE
183,"BATALLÓN DE INFANTERÃA MOTORIZADA NRO. 14 ""MARAÃ‘ÓN""",B.I.MOT 14,5 B.I,II.D.E,SANTA ELENA,LA LIBERTAD ,GRAL. ENRIQUE GALLO,SANTA ELENA  / LA LIBERTAD  / GRAL. ENRIQUE GALLO,COSTA
184,COMPAÑIA LOGÍSTICA DEL B.I 14,CIA. LOG/14,NO ENCONTRADO,NO ENCONTRADO,SANTA ELENA,LA LIBERTAD ,GRAL. ENRIQUE GALLO,SANTA ELENA  / LA LIBERTAD  / GRAL. ENRIQUE GALLO,COSTA
185,CENTRO DE SISTEMAS AUTOMATIZADOS,CEN.S.A,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,EL INCA,PICHINCHA  / QUITO  / EL INCA,SIERRA
186,COMPAÑIA DE OPERACIONES ESPECIALES NRO. 5,C.O.E 5 (-),NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
187,COMPAÑIA LOGÍSTICA DEL B.I 38,CIA. LOG/38,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
188,COMPAÑIA DE MORTEROS 4.2 PULGADAS,C.M 1,NO ENCONTRADO,NO ENCONTRADO,EL ORO,ARENILLAS ,ARENILLAS,EL ORO  / ARENILLAS  / ARENILLAS,COSTA
189,"BRIGADA DE INFANTERÍA NRO. 1 ""EL ORO""",1 B.I,NO ENCONTRADO,NO ENCONTRADO,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
190,COMPAÑIA DE APOYO AL DESARROLLO Y AMBIENTE No. 5,C.A.D.Y.A 5 (-),NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
191,COMPANIA DE REEMPLAZOS NO. 13,C.R 13,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
192,COMPANIA DE REEMPLAZOS NO. 1,C.R 1,NO ENCONTRADO,NO ENCONTRADO,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
193,COMANDO DE APOYO LOGÍSTICO NRO. 15,C.A.L 15,15 B.A.E,C.G.F.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
194,COMPANIA ESPECIAL DE SEGURIDAD,C.E.S.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
195,PELOTON COMANDO Y SERVICIOS,CIA. LOG/B.L/72,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
196,COMANDO DE APOYO LOGÍSTICO DEL CEE,C.A.L C.E.E,C.E.E,C.O.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
197,CLUB DE OFICIALES DE LA F.T.,C.R.O.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
198,COMPANIA DE REEMPLAZOS NO. 7,C.R 7,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
199,COMPANIA DE REEMPLAZOS NO. 17,C.R 17,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
200,COMPANIA DE REEMPLAZOS NO. 19,C.R 19,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
201,COMPANIA DE REEMPLAZOS NO. 21,C.R 21,NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
202,COMPANIA DE REEMPLAZOS NO. 23,C.R 23,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
203,ESCUADRON DE REEMPLAZOS NO. 9,E.R 9,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
204,ESCUADRON DE REEMPLAZOS NO. 11,E.R 11,NO ENCONTRADO,NO ENCONTRADO,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
205,COMPANIA DE REEMPLAZOS NO. 5,C.R 5,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,PASCUALES,GUAYAS  / GUAYAQUIL  / PASCUALES,COSTA
206,BATERIA DE REEMPLAZOS NO. 27,B.R 27,NO ENCONTRADO,NO ENCONTRADO,EL ORO,EL GUABO ,EL GUABO,EL ORO  / EL GUABO  / EL GUABO,COSTA
207,CUERPO DE INGENIEROS DEL EJÉRCITO,C.E.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
208,COMPAÑIA CUARTEL GENERAL DEL CEE,C.C.G C.E.E (-),NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
209,PELOTÓN SERVICIOS I.D.E,PEL.SRV I.D.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
210,COMPAÑIA DE APOYO AL DESARROLLO Y AMBIENTE NRO. 21,C.A.D.Y.A 21 (-),NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
211,ESCUADRÓN POLICÍA MILITAR NRO. 9,E.P.M 9,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
212,"GRUPO DE INTELIGENCIA MILITAR NRO. 84 ""PICHINCHA""",G.I.M 84,29 B.I.M,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
213,DESTACAMENTO DE INTELIGENCIA CARCHI,D.I.C,G.I.M 87,29 B.I.M,CARCHI,TULCAN ,TULCAN,CARCHI  / TULCAN  / TULCAN,SIERRA
214,DIRECCIÓN FINANCIERA,D.F,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
215,CENTRO INFANTIL NRO. 1,C.I 1,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,ALANGASI,PICHINCHA  / QUITO  / ALANGASI,SIERRA
216,CENTRO INFANTIL NRO. 2,C.I 2,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,ALANGASI,PICHINCHA  / QUITO  / ALANGASI,SIERRA
217,CENTRO INFANTIL NRO. 3,C.I 3,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,ALANGASI,PICHINCHA  / QUITO  / ALANGASI,SIERRA
218,COMANDO Y ESTADO MAYOR DE LA IV.D.E,C.E.M IV.D.E,IV.D.E,C.O.T,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
219,JUZGADO PRIMERO MILITAR III-DE,1.JM.III.DE,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
220,JUZGADO SEGUNDO MILITAR III.D.E,2.JM.III.DE,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
221,POLICLINICO ESFORSFT,POL. ESFORSFT,NO ENCONTRADO,NO ENCONTRADO,TUNGURAHUA,AMBATO ,AMBATO,TUNGURAHUA  / AMBATO  / AMBATO,SIERRA
222,INSTITUTO GEOGRÍFICO MILITAR,I.G.M,M.D.N,M.D.N,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
223,JUZGADO PRIMERO MILITAR IV.D.E,1.JM.IV.DE,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
224,JUZGADO SEGUNDO MILITAR IV.D.E,2.JM.IV.DE,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
225,ESCUELA DE ARTILLERÍA,ESC.ART,C.E.D.F.T,C.G.F.T,EL ORO,EL GUABO ,EL GUABO,EL ORO  / EL GUABO  / EL GUABO,COSTA
226,COMPAÑIA LOGÍSTICA DEL B.E 69,CIA.LOG/69,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
227,COMPAÑIA LOGÍSTICA DEL B.I 20,CIA. LOG/20,NO ENCONTRADO,NO ENCONTRADO,LOJA,CALVAS ,CARIAMANGA,LOJA  / CALVAS  / CARIAMANGA,SIERRA
